ABCA1
ABCB8
ACAA2
ACADL
ACADM
ACADS
ACLY
ACO2
ACOX1
ADCY6
ADIG
ADIPOQ
ADIPOR2
AGPAT3
AIFM1
AK2
ALDH2
ALDOA
ANGPT1
ANGPTL4
APLP2
APOE
ARAF
ARL4A
ATL2
ATP1B3
ATP5PO
BAZ2A
BCKDHA
BCL2L13
BCL6
C3
CAT
CAVIN1
CAVIN2
CCNG2
CD151
CD302
CD36
CDKN2C
CHCHD10
CHUK
CIDEA
CMBL
CMPK1
COL15A1
COL4A1
COQ3
COQ5
COQ9
COX6A1
COX7B
COX8A
CPT2
CRAT
CS
CYC1
CYP4B1
DBT
DDT
DECR1
DGAT1
DHCR7
DHRS7
DHRS7B
DLAT
DLD
DNAJB9
DNAJC15
DRAM2
ECH1
ECHS1
ELMOD3
ELOVL6
ENPP2
EPHX2
ESRRA
ESYT1
ETFB
FABP4
FAH
FZD4
G3BP2
GADD45A
GBE1
GHITM
GPAM
GPAT4
GPD2
GPHN
GPX3
GPX4
GRPEL1
HADH
HIBCH
HSPB8
IDH1
IDH3A
IDH3G
IFNGR1
IMMT
ITGA7
ITIH5
ITSN1
JAGN1
LAMA4
LEP
LIFR
LIPE
LPCAT3
LPL
LTC4S
MAP4K3
MCCC1
MDH2
ME1
MGLL
MGST3
MIGA2
MRAP
MRPL15
MTARC2
MTCH2
MYLK
NABP1
NDUFA5
NDUFAB1
NDUFB7
NDUFS3
NKIRAS1
NMT1
OMD
ORM1
PDCD4
PEMT
PEX14
PFKFB3
PFKL
PGM1
PHLDB1
PHYH
PIM3
PLIN2
POR
PPARG
PPM1B
PPP1R15B
PRDX3
PREB
PTCD3
PTGER3
QDPR
RAB34
REEP5
REEP6
RETN
RETSAT
RIOK3
RMDN3
RNF11
RREB1
RTN3
SAMM50
SCARB1
SCP2
SDHB
SDHC
SLC19A1
SLC1A5
SLC25A1
SLC25A10
SLC27A1
SLC5A6
SLC66A3
SNCG
SOD1
SORBS1
SOWAHC
SPARCL1
SQOR
SSPN
STAT5A
STOM
SUCLG1
SULT1A1
TALDO1
TANK
TKT
TOB1
TST
UBC
UBQLN1
UCK1
UCP2
UQCR10
UQCR11
UQCRC1
UQCRQ
VEGFB
YWHAG
AARS1
ABCE1
ABI1
ACHE
ACVR2A
AKT1
APBB1
B2M
BCAT1
BCL10
BCL3
BRCA1
C2
CAPG
CARTPT
CCL11
CCL13
CCL19
CCL2
CCL22
CCL4
CCL5
CCL7
CCND2
CCND3
CCR1
CCR2
CCR5
CD1D
CD2
CD247
CD28
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD47
CD7
CD74
CD79A
CD80
CD86
CD8A
CD8B
CD96
CDKN2A
CFP
CRTAM
CSF1
CSK
CTSS
CXCL13
CXCL9
CXCR3
DARS1
DEGS1
DYRK3
EGFR
EIF3A
EIF3D
EIF3J
EIF4G3
EIF5A
ELANE
ELF4
EREG
ETS1
F2
F2R
FAS
FASLG
FCGR2B
FGR
FLNA
FYB1
GALNT1
GBP2
GCNT1
GLMN
GPR65
GZMA
GZMB
HCLS1
HDAC9
HIF1A
HLA-A
HLA-DMA
HLA-DMB
HLA-DOA
HLA-DOB
HLA-DQA1
HLA-DRA
HLA-E
HLA-G
ICAM1
ICOSLG
IFNAR2
IFNG
IFNGR2
IGSF6
IKBKB
IL10
IL11
IL12A
IL12B
IL12RB1
IL13
IL15
IL16
IL18
IL18RAP
IL1B
IL2
IL27RA
IL2RA
IL2RB
IL2RG
IL4
IL4R
IL6
IL7
IL9
INHBA
INHBB
IRF4
IRF7
IRF8
ITGAL
ITGB2
ITK
JAK2
KLRD1
KRT1
LCK
LCP2
LIF
LTB
LY75
LY86
LYN
MAP3K7
MAP4K1
MBL2
MMP9
MRPL3
MTIF2
NCF4
NCK1
NCR1
NLRP3
NME1
NOS2
NPM1
PF4
PRF1
PRKCB
PRKCG
PSMB10
PTPN6
PTPRC
RARS1
RIPK2
SIT1
SOCS1
SOCS5
SPI1
SRGN
ST8SIA4
STAB1
STAT1
STAT4
TAP1
TAP2
TAPBP
TGFB1
TGFB2
THY1
TIMP1
TLR1
TLR2
TLR3
TLR6
TNF
TPD52
TRAF2
TRAT1
UBE2D1
UBE2N
WARS1
WAS
ZAP70
ABCC4
ABHD2
ACSL3
ACTN1
ADAMTS1
ADRM1
AKAP12
ALDH1A3
ANKH
APPBP2
ARID5B
AZGP1
B4GALT1
BMPR1B
CAMKK2
CCND1
CDC14B
CDK6
CENPN
DBI
DHCR24
ELK4
